
#   BLOCK:      ACTUAL_E:       AVERAGE_E:      ERROR:
1             1.27828             1.27828            0.596427
2             1.21638             1.24733            0.392752
3             1.19152             1.22873            0.306077
4             1.25316             1.23484            0.269252
5             1.22633             1.23314            0.239787
6             1.23171              1.2329            0.218762
7             1.25543             1.23612            0.204195
8             1.26235              1.2394            0.192584
9             1.23017             1.23837            0.181105
10             1.21996             1.23653             0.17102
11             1.21741             1.23479            0.162346
12              1.2335             1.23468            0.155392
13              1.2324             1.23451            0.149229
14             1.23202             1.23433            0.143736
15             1.23493             1.23437            0.138877
16             1.24651             1.23513            0.134725
17              1.2277             1.23469            0.130558
18             1.21152             1.23341            0.126465
19             1.21385             1.23238             0.12277
20             1.21307             1.23141            0.119365
21             1.24435             1.23203            0.116673
22             1.20205             1.23066            0.113592
23             1.25298             1.23163            0.111373
24             1.23834             1.23191            0.109106
25             1.22194             1.23152            0.106792
26             1.22869             1.23141            0.104689
27             1.21448             1.23078            0.102567
28              1.2066             1.22992            0.100495
29             1.19209             1.22861           0.0984141
30             1.22689             1.22855           0.0967456
31              1.2117             1.22801           0.0950381
32             1.20542              1.2273           0.0933695
33             1.23341             1.22749           0.0919883
34             1.23963             1.22785           0.0907098
35             1.22718             1.22783           0.0894001
36             1.20843             1.22729            0.088026
37             1.24736             1.22783           0.0869511
38              1.2686              1.2289           0.0860387
39              1.2384             1.22915           0.0849821
40              1.2606             1.22993           0.0840838
41             1.21894             1.22967           0.0829946
42             1.24661             1.23007            0.082086
43             1.22835             1.23003           0.0811175
44             1.22936             1.23001           0.0801873
45             1.25699             1.23061            0.079414
46             1.24383              1.2309           0.0786041
47             1.22172             1.23071           0.0777243
48             1.27047             1.23153           0.0770743
49             1.21296             1.23115           0.0762096
50              1.2352             1.23124           0.0754594
51             1.21764             1.23097           0.0746647
52             1.21276             1.23062           0.0738767
53             1.23715             1.23074           0.0731997
54             1.25385             1.23117           0.0725986
55             1.23224             1.23119           0.0719391
56             1.26701             1.23183            0.071411
57             1.24714              1.2321           0.0708306
58             1.23631             1.23217           0.0702303
59             1.25214             1.23251           0.0696929
60             1.17974             1.23163           0.0689542
61             1.22599             1.23154           0.0683705
62             1.22296              1.2314           0.0677928
63             1.25594             1.23179           0.0673199
64             1.19823             1.23126           0.0667021
65             1.26632              1.2318           0.0662786
66             1.25498             1.23215           0.0658338
67             1.22626             1.23207           0.0653259
68             1.24925             1.23232           0.0648858
69             1.20869             1.23198           0.0643574
70             1.20773             1.23163           0.0638394
71             1.25582             1.23197           0.0634436
72             1.25036             1.23223           0.0630427
73             1.23301             1.23224           0.0626111
74              1.2375             1.23231           0.0621979
75              1.2168              1.2321           0.0617492
76             1.20976             1.23181           0.0612954
77             1.21506             1.23159           0.0608622
78             1.23469             1.23163           0.0604769
79             1.22734             1.23158           0.0600846
80             1.25196             1.23183           0.0597469
81             1.21369             1.23161           0.0593429
82             1.24961             1.23183           0.0590131
83             1.25166             1.23206           0.0586924
84             1.26385             1.23244           0.0583985
85             1.21463             1.23223           0.0580229
86             1.23378             1.23225           0.0576872
87             1.24478              1.2324           0.0573759
88             1.20096             1.23204           0.0569968
89             1.19915             1.23167           0.0566221
90             1.24577             1.23183           0.0563292
91             1.22846             1.23179           0.0560136
92             1.20375             1.23148           0.0556648
93             1.20646             1.23121           0.0553265
94             1.20598             1.23095           0.0549935
95             1.27145             1.23137           0.0547632
96             1.22517             1.23131           0.0544682
97             1.23786             1.23138           0.0541961
98             1.22734             1.23133           0.0539132
99             1.21725             1.23119           0.0536206
100             1.24044             1.23128           0.0533645
