
#   BLOCK:      ACTUAL_E:       AVERAGE_E:      ERROR:
1            0.738794            0.738794            0.439292
2            0.739065            0.738929            0.310574
3            0.692799            0.723553            0.258215
4            0.792376            0.740759            0.219109
5            0.748144            0.742236            0.195613
6            0.870284            0.763577            0.173459
7             0.80506            0.769503             0.15918
8            0.739044            0.765696            0.149752
9             0.81129            0.770762            0.140114
10            0.811325            0.774818            0.132089
11            0.830078            0.779842            0.124932
12            0.845272            0.785294            0.118535
13            0.743708            0.782095            0.114496
14            0.728081            0.778237            0.111029
15            0.756729            0.776803            0.107511
16            0.706153            0.772388            0.104823
17            0.841387            0.776446            0.101047
18            0.834441            0.779668           0.0976916
19            0.828116            0.782218           0.0946886
20             0.81731            0.783973           0.0920216
21            0.774631            0.783528           0.0898708
22            0.837919               0.786           0.0874393
23            0.832601            0.788026           0.0852211
24            0.860264            0.791036           0.0829904
25            0.731251            0.788645           0.0816539
26            0.738559            0.786719            0.080334
27            0.738237            0.784923           0.0790731
28            0.822345            0.786259           0.0774725
29            0.855899            0.788661           0.0758117
30             0.78421            0.788512           0.0745566
31            0.691965            0.785398           0.0737362
32             0.73405            0.783793           0.0727713
33            0.831728            0.785246           0.0714853
34            0.791722            0.785436           0.0704035
35            0.722571             0.78364           0.0696005
36            0.755328            0.782854           0.0687172
37             0.75829             0.78219           0.0678569
38            0.772284            0.781929            0.066987
39            0.777626            0.781819           0.0661347
40            0.806019            0.782424           0.0652374
41             0.71582            0.780799           0.0646098
42            0.773683             0.78063           0.0638538
43            0.739818            0.779681           0.0632048
44            0.851947            0.781323           0.0623147
45            0.810788            0.781978           0.0615518
46            0.751844            0.781323            0.060945
47            0.662211            0.778789           0.0605431
48            0.826281            0.779778           0.0598129
49            0.816043            0.780518           0.0591279
50            0.729797            0.779504           0.0586306
51            0.720188            0.778341           0.0581625
52            0.824211            0.779223           0.0575183
53            0.787178            0.779373           0.0569592
54            0.775096            0.779294           0.0564366
55            0.786224             0.77942           0.0559098
56            0.779319            0.779418           0.0554085
57            0.784998            0.779516           0.0549116
58            0.735698             0.77876           0.0545029
59            0.769503            0.778603           0.0540527
60            0.806902            0.779075           0.0535595
61            0.724214            0.778176           0.0531959
62            0.761137            0.777901           0.0527885
63            0.768376             0.77775           0.0523806
64            0.775184             0.77771           0.0519732
65            0.709264            0.776657           0.0516588
66            0.750716            0.776264           0.0512981
67            0.754414            0.775937           0.0509402
68            0.740244            0.775413           0.0506063
69            0.696853            0.774274           0.0503285
70            0.908548            0.776192           0.0498165
71             0.77962             0.77624           0.0494606
72            0.778801            0.776276           0.0491132
73            0.768419            0.776168            0.048784
74               0.805            0.776558           0.0484232
75            0.720588            0.775812           0.0481564
76            0.852777            0.776824           0.0477615
77            0.681669            0.775589           0.0475437
78            0.735087            0.775069           0.0472767
79            0.780455            0.775138           0.0469715
80            0.759012            0.774936           0.0466918
81             0.77823            0.774977           0.0463997
82            0.776415            0.774994           0.0461147
83            0.794096            0.775224           0.0458194
84            0.746782            0.774886           0.0455702
85             0.79291            0.775098           0.0452862
86            0.800131            0.775389           0.0450014
87            0.819195            0.775892           0.0447064
88            0.717926            0.775234            0.044498
89             0.76486            0.775117           0.0442555
90            0.746427            0.774798            0.044031
91            0.718356            0.774178           0.0438311
92            0.803422            0.774496           0.0435705
93            0.706248            0.773762           0.0433855
94            0.766141            0.773681           0.0431596
95            0.656712             0.77245           0.0430142
96             0.78005            0.772529           0.0427843
97            0.783918            0.772646           0.0425555
98            0.755917            0.772476            0.042349
99            0.689611            0.771639           0.0421891
100            0.794228            0.771865            0.041963
