
#   BLOCK:      ACTUAL_E:       AVERAGE_E:      ERROR:
1           -0.109323           -0.109323            0.348246
2           -0.137031           -0.123177            0.263011
3           -0.123403           -0.123253            0.214821
4           -0.142384           -0.128035            0.190019
5           -0.141082           -0.130645            0.171879
6           -0.129022           -0.130374            0.156723
7           -0.113584           -0.127976            0.143603
8           -0.135315           -0.128893            0.134864
9           -0.123701           -0.128316            0.126834
10           -0.129152             -0.1284            0.120369
11           -0.128613           -0.128419            0.114777
12           -0.128149           -0.128397             0.10988
13           -0.117405           -0.127551            0.105181
14           -0.110566           -0.126338            0.100818
15           -0.110012            -0.12525           0.0969319
16           -0.109645           -0.124274           0.0934473
17           -0.133042            -0.12479           0.0908659
18           -0.139618           -0.125614           0.0886292
19           -0.114711            -0.12504           0.0860462
20           -0.124115           -0.124994           0.0838502
21           -0.123675           -0.124931           0.0818066
22           -0.102191           -0.123897           0.0795578
23           -0.118128           -0.123646           0.0777216
24           -0.124773           -0.123693           0.0761012
25           -0.129778           -0.123937            0.074645
26            -0.13027            -0.12418           0.0732753
27           -0.120892           -0.124059           0.0718664
28           -0.124001           -0.124056           0.0705708
29           -0.139393           -0.124585           0.0695073
30           -0.112832           -0.124194           0.0682196
31           -0.131389           -0.124426           0.0671799
32           -0.137269           -0.124827           0.0662403
33           -0.115749           -0.124552            0.065149
34           -0.127222            -0.12463           0.0642063
35            -0.11459           -0.124344           0.0632015
36           -0.136886           -0.124692           0.0624144
37           -0.130804           -0.124857           0.0616105
38           -0.121885           -0.124779           0.0607732
39           -0.141215             -0.1252           0.0601015
40           -0.138131           -0.125524           0.0594306
41           -0.138008           -0.125828           0.0587805
42             -0.1261           -0.125835           0.0580781
43           -0.129453           -0.125919           0.0574202
44           -0.149276            -0.12645           0.0568969
45           -0.117086           -0.126242           0.0562096
46           -0.123572           -0.126183           0.0555811
47           -0.126375           -0.126188           0.0549876
48           -0.139694           -0.126469           0.0544792
49           -0.114041           -0.126215           0.0538603
50           -0.129061           -0.126272           0.0533323
51           -0.117375           -0.126098           0.0527663
52              -0.141           -0.126384           0.0523225
53           -0.120915           -0.126281            0.051803
54           -0.122461            -0.12621           0.0513051
55           -0.121953           -0.126133           0.0508192
56            -0.13048           -0.126211           0.0503807
57           -0.145531            -0.12655           0.0500113
58           -0.129171           -0.126595           0.0495881
59           -0.115874           -0.126413           0.0491268
60           -0.105662           -0.126067           0.0486416
61           -0.130572           -0.126141           0.0482569
62           -0.110259           -0.125885           0.0478121
63           -0.125019           -0.125871           0.0474283
64           -0.121516           -0.125803           0.0470421
65           -0.123871           -0.125773           0.0466727
66           -0.127888           -0.125805           0.0463244
67            -0.12872           -0.125849           0.0459862
68           -0.133404            -0.12596           0.0456692
69           -0.141448           -0.126184            0.045382
70            -0.13427             -0.1263           0.0450796
71           -0.120337           -0.126216           0.0447444
72           -0.119755           -0.126126            0.044415
73            -0.12218           -0.126072           0.0440993
74           -0.108845           -0.125839           0.0437553
75            -0.12451           -0.125822           0.0434592
76           -0.113639           -0.125661           0.0431418
77           -0.112098           -0.125485           0.0428273
78           -0.115548           -0.125358           0.0425279
79            -0.12449           -0.125347           0.0422558
80            -0.12842           -0.125385            0.041998
81           -0.116031            -0.12527           0.0417166
82           -0.147595           -0.125542           0.0415115
83           -0.117291           -0.125443           0.0412425
84           -0.113239           -0.125297           0.0409699
85           -0.123569           -0.125277           0.0407245
86           -0.114241           -0.125149            0.040464
87            -0.12412           -0.125137           0.0402287
88           -0.121767           -0.125099           0.0399926
89          -0.0959477           -0.124771           0.0397095
90           -0.140602           -0.124947           0.0395191
91           -0.118257           -0.124873           0.0392886
92           -0.122145           -0.124844           0.0390693
93           -0.119778           -0.124789           0.0388493
94           -0.141687           -0.124969            0.038673
95           -0.130944           -0.125032           0.0384797
96           -0.127969           -0.125063           0.0382839
97           -0.125097           -0.125063           0.0380861
98           -0.129172           -0.125105           0.0378984
99           -0.127003           -0.125124           0.0377097
100           -0.125436           -0.125127           0.0375212
