x,y,z,r
-0.148576,0.777229,0.494128,0.93291
3.65127,0.0893144,-1.10359,3.81545
3.65127,0.0893144,-1.10359,3.81545
3.65127,0.0893144,-1.10359,3.81545
3.65992,-1.76117,-2.87567,4.97657
3.65992,-1.76117,-2.87567,4.97657
3.65992,-1.76117,-2.87567,4.97657
3.65992,-1.76117,-2.87567,4.97657
1.68569,-0.47763,-1.03132,2.03305
-1.46254,-1.04828,-2.90207,3.41467
-1.46254,-1.04828,-2.90207,3.41467
-1.46254,-1.04828,-2.90207,3.41467
-1.46254,-1.04828,-2.90207,3.41467
-1.41,-2.79944,-3.87965,4.98765
-1.97904,-0.0485097,-6.6964,6.98289
-2.34436,0.759314,-5.77723,6.28084
-1.65569,2.53725,-5.03859,5.87931
-1.946,2.44298,-4.48286,5.46361
-1.26263,1.46045,-5.38169,5.71749
-1.91762,-0.15098,-5.11579,5.46547
0.744225,1.38325,-3.8039,4.11544
0.163393,-0.796691,-3.20447,3.30606
0.994958,-0.197904,-1.50326,1.81353
0.994958,-0.197904,-1.50326,1.81353
0.180866,-0.656108,-1.86931,1.98935
0.180866,-0.656108,-1.86931,1.98935
0.180866,-0.656108,-1.86931,1.98935
0.180866,-0.656108,-1.86931,1.98935
-1.9851,0.240471,-5.13209,5.50788
-1.9851,0.240471,-5.13209,5.50788
-2.90612,-0.4857,-6.23725,6.89817
-0.588812,1.05292,-6.15159,6.26876
-0.588812,1.05292,-6.15159,6.26876
-1.34024,4.13838,-4.13149,5.9993
-1.34024,4.13838,-4.13149,5.9993
-1.80724,2.70257,-2.70037,4.22634
-1.80724,2.70257,-2.70037,4.22634
-2.48901,2.52945,-2.03889,4.09272
-3.21771,1.08344,-5.71929,6.65115
-3.85559,0.785964,-5.08248,6.42767
-1.4839,0.913386,-4.16871,4.51823
-0.74882,0.241726,-2.92917,3.03302
-0.0561576,-2.23221,-2.4729,3.33183
0.940319,-1.47361,-0.556973,1.83465
1.57918,-0.0196967,-1.23476,2.0047
1.88565,-1.23077,1.04595,2.48284
1.88565,-1.23077,1.04595,2.48284
0.810142,-4.0458,2.19002,4.6713
0.810142,-4.0458,2.19002,4.6713
2.08943,-3.60714,1.74192,4.51791
0.523672,-2.38583,1.58721,2.91301
0.523672,-2.38583,1.58721,2.91301
-0.891566,-1.81455,3.00172,3.61909
-0.891566,-1.81455,3.00172,3.61909
-0.891566,-1.81455,3.00172,3.61909
-0.891566,-1.81455,3.00172,3.61909
-0.891566,-1.81455,3.00172,3.61909
-0.891566,-1.81455,3.00172,3.61909
-0.891566,-1.81455,3.00172,3.61909
1.23003,-4.21128,4.11207,6.01307
1.19417,-3.40225,2.83221,4.58506
1.93955,-0.532531,1.93894,2.79373
3.06109,0.775364,5.77228,6.57957
3.40827,-2.15873,6.05248,7.27385
3.40827,-2.15873,6.05248,7.27385
3.40827,-2.15873,6.05248,7.27385
3.40827,-2.15873,6.05248,7.27385
3.43351,1.78901,7.03388,8.02901
1.93172,2.24635,3.97769,4.9598
1.33101,2.39484,3.74586,4.64094
1.33101,2.39484,3.74586,4.64094
1.33101,2.39484,3.74586,4.64094
1.33101,2.39484,3.74586,4.64094
1.91977,1.81467,4.10603,4.88242
0.852841,1.05359,5.11092,5.28762
0.852841,1.05359,5.11092,5.28762
2.76843,1.21758,1.44309,3.351
1.90589,2.49803,-0.740572,3.22816
1.90589,2.49803,-0.740572,3.22816
1.85596,3.02858,-2.11788,4.1355
1.81556,0.559868,-0.226094,1.91333
-1.64709,1.45067,3.11686,3.81211
-4.14,2.11531,2.69728,5.37489
-4.51799,3.11787,1.86738,5.79831
-4.76488,0.818249,2.5057,5.44538
-4.76488,0.818249,2.5057,5.44538
-5.09741,1.41192,3.64451,6.42336
-5.09741,1.41192,3.64451,6.42336
-5.09741,1.41192,3.64451,6.42336
-5.09741,1.41192,3.64451,6.42336
-3.80295,3.71623,3.12335,6.16669
-3.80295,3.71623,3.12335,6.16669
-3.80295,3.71623,3.12335,6.16669
-4.37165,2.87592,3.83105,6.4853
-2.37647,2.43478,3.5538,4.91989
-2.7789,2.55378,4.35213,5.76065
-2.7789,2.55378,4.35213,5.76065
-2.7789,2.55378,4.35213,5.76065
-2.7789,2.55378,4.35213,5.76065
-2.7789,2.55378,4.35213,5.76065
-2.7789,2.55378,4.35213,5.76065
-3.35893,0.773747,2.69367,4.37458
-5.97862,5.48967,3.53332,8.85239
-5.97862,5.48967,3.53332,8.85239
-2.03813,5.77489,3.96808,7.29719
-2.03813,5.77489,3.96808,7.29719
-2.03813,5.77489,3.96808,7.29719
-1.5728,6.13274,3.88038,7.42574
-1.5728,6.13274,3.88038,7.42574
-3.75339,4.69837,2.71175,6.59668
-4.5646,4.20352,2.9683,6.87866
-4.5646,4.20352,2.9683,6.87866
-4.96184,4.584,1.97423,7.03779
-4.96184,4.584,1.97423,7.03779
-4.96184,4.584,1.97423,7.03779
-4.96184,4.584,1.97423,7.03779
-4.96184,4.584,1.97423,7.03779
-0.235911,5.31254,0.78569,5.37551
-0.235911,5.31254,0.78569,5.37551
1.59757,6.77136,4.40987,8.23714
1.59757,6.77136,4.40987,8.23714
1.59757,6.77136,4.40987,8.23714
2.60234,7.05555,5.23593,9.1634
1.89287,5.43397,4.8643,7.53475
1.89287,5.43397,4.8643,7.53475
0.0991552,3.15836,4.0755,5.15701
0.0991552,3.15836,4.0755,5.15701
0.858866,3.09919,2.83133,4.28475
0.858866,3.09919,2.83133,4.28475
-0.897202,3.34725,4.14165,5.40021
-1.35445,2.81865,6.24244,6.98193
0.339875,-0.398897,6.51235,6.5334
0.242709,-0.375736,6.80802,6.8227
0.242709,-0.375736,6.80802,6.8227
0.242709,-0.375736,6.80802,6.8227
0.040404,1.34525,7.44135,7.56208
0.285512,-0.0581681,6.08648,6.09345
0.285512,-0.0581681,6.08648,6.09345
0.285512,-0.0581681,6.08648,6.09345
1.20914,-0.134099,2.93304,3.17534
1.20914,-0.134099,2.93304,3.17534
1.20914,-0.134099,2.93304,3.17534
1.20914,-0.134099,2.93304,3.17534
1.20914,-0.134099,2.93304,3.17534
1.20914,-0.134099,2.93304,3.17534
1.20914,-0.134099,2.93304,3.17534
-0.283585,1.62146,1.83456,2.46478
-0.283585,1.62146,1.83456,2.46478
-0.283585,1.62146,1.83456,2.46478
-1.06946,0.361524,1.76478,2.09496
-1.31876,-0.191543,1.18614,1.78402
-1.31876,-0.191543,1.18614,1.78402
0.102906,-2.54233,-1.08819,2.76734
-0.22192,-3.00707,-1.35342,3.30506
-0.22192,-3.00707,-1.35342,3.30506
-1.22522,-4.60177,-2.29713,5.28718
-1.22522,-4.60177,-2.29713,5.28718
-1.22522,-4.60177,-2.29713,5.28718
-0.526314,-2.18773,-2.78874,3.58332
-0.526314,-2.18773,-2.78874,3.58332
-0.526314,-2.18773,-2.78874,3.58332
-0.526314,-2.18773,-2.78874,3.58332
2.07321,-1.92548,-5.1572,5.88238
2.07321,-1.92548,-5.1572,5.88238
-0.393935,-1.84857,-6.67319,6.9357
-0.393935,-1.84857,-6.67319,6.9357
-1.69183,-0.613266,-6.31786,6.56915
-3.09272,-1.37868,-5.52123,6.47686
-3.09272,-1.37868,-5.52123,6.47686
-2.32129,-0.360643,-6.05588,6.49555
-2.91745,-1.45537,-5.60231,6.48193
-3.7278,0.0971388,-5.94227,7.01545
-1.68389,1.6102,-2.94902,3.75832
-2.31172,0.124709,-2.37621,3.31752
-2.31172,0.124709,-2.37621,3.31752
-1.91099,2.38836,1.28885,3.31923
