#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20466     1.20466           0
           2     1.19403     1.19934  0.00375873
           3     1.20466     1.20112  0.00289405
           4     1.19935     1.20067  0.00220409
           5     1.21263     1.20307  0.00277154
           6     1.18909     1.20074  0.00313942
           7     1.20759     1.20171  0.00283941
           8     1.19312     1.20064  0.00268005
           9     1.20241     1.20084  0.00238946
          10     1.20151      1.2009  0.00215146
          11     1.20233     1.20103  0.00195976
          12     1.18429     1.19964  0.00223864
          13     1.19793     1.19951   0.0020703
          14     1.19713     1.19934  0.00192938
          15      1.2024     1.19954  0.00181153
          16      1.1989      1.1995  0.00169876
          17     1.20935     1.20008   0.0016948
          18      1.2101     1.20064  0.00168966
          19     1.20661     1.20095  0.00162968
          20     1.19532     1.20067  0.00157233
          21     1.22198     1.20168  0.00179519
          22      1.1887     1.20109  0.00180799
          23     1.19157     1.20068  0.00177619
          24      1.2109     1.20111   0.0017525
          25     1.20022     1.20107  0.00168275
          26     1.20572     1.20125  0.00162749
          27     1.20874     1.20153   0.0015907
          28     1.20386     1.20161  0.00153606
          29     1.19848      1.2015  0.00148688
          30      1.2105      1.2018  0.00146726
          31     1.19279     1.20151  0.00144841
          32     1.20252     1.20154  0.00140349
          33     1.20297     1.20159  0.00136163
          34     1.20169     1.20159  0.00132159
          35     1.20196      1.2016  0.00128387
          36     1.21305     1.20192    0.001287
          37     1.19216     1.20165  0.00127897
          38     1.21143     1.20191  0.00127092
          39     1.19265     1.20167  0.00126032
          40      1.1981     1.20158  0.00123197
          41     1.20602     1.20169  0.00120666
          42     1.19457     1.20152  0.00118981
          43     1.21584     1.20186  0.00120782
          44     1.20442     1.20191  0.00118178
          45     1.19235      1.2017  0.00117447
          46      1.2114     1.20191  0.00116772
          47     1.20399     1.20196  0.00114371
          48     1.20508     1.20202  0.00112174
          49     1.20238     1.20203  0.00109887
          50     1.20271     1.20204  0.00107697
          51     1.20001       1.202  0.00105659
          52     1.20859     1.20213  0.00104384
          53     1.20093     1.20211   0.0010244
          54      1.1961       1.202  0.00101145
          55     1.20687     1.20208 0.000996935
          56     1.20759     1.20218 0.000983962
          57      1.2094     1.20231 0.000974809
          58     1.19818     1.20224 0.000960597
          59      1.2007     1.20221 0.000944671
          60     1.18689     1.20196 0.000962825
          61      1.2081     1.20206 0.000952287
          62     1.19579     1.20196 0.000942271
          63     1.20334     1.20198 0.000927572
          64     1.20082     1.20196 0.000913254
          65     1.18442     1.20169 0.000938231
          66     1.20408     1.20173 0.000924712
          67     1.20088     1.20171 0.000910997
          68     1.19351     1.20159 0.000905553
          69     1.21508     1.20179 0.000913274
          70     1.18756     1.20159 0.000922566
          71     1.20312     1.20161 0.000909826
          72     1.20639     1.20167 0.000899617
          73      1.2005     1.20166 0.000887438
          74     1.21067     1.20178 0.000883765
          75     1.19746     1.20172 0.000873857
          76     1.20975     1.20183 0.000868724
          77     1.19147     1.20169 0.000867787
          78     1.20056     1.20168 0.000856782
          79     1.20531     1.20172 0.000847171
          80     1.19913     1.20169 0.000837204
          81     1.20711     1.20176 0.000829541
          82     1.21291     1.20189 0.000830494
          83     1.19572     1.20182 0.000823811
          84     1.20317     1.20184  0.00081416
          85     1.20296     1.20185 0.000804689
          86     1.19789      1.2018 0.000796646
          87     1.20636     1.20186 0.000789209
          88     1.20136     1.20185 0.000780261
          89     1.20374     1.20187 0.000771782
          90     1.20821     1.20194 0.000766409
          91     1.19194     1.20183 0.000765829
          92     1.20898     1.20191 0.000761435
          93     1.20451     1.20194  0.00075376
          94     1.19721     1.20189  0.00074742
          95     1.20284      1.2019 0.000739621
          96     1.19606     1.20184 0.000734409
          97     1.20182     1.20184 0.000726838
          98     1.20768      1.2019 0.000721865
          99     1.20932     1.20197 0.000718454
         100     1.18811     1.20183 0.000724513
