#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.32037    -6.32037           0
           2    -6.32119    -6.32078 0.000290086
           3    -6.32093    -6.32083  0.00019767
           4    -6.31941    -6.32048 0.000341772
           5    -6.32263    -6.32091 0.000472089
           6    -6.32119    -6.32095 0.000395801
           7    -6.32073    -6.32092 0.000340569
           8    -6.32108    -6.32094 0.000298577
           9    -6.32079    -6.32092 0.000265908
          10    -6.32167      -6.321 0.000249648
          11    -6.31994     -6.3209 0.000244868
          12    -6.31995    -6.32082  0.00023692
          13    -6.32019    -6.32077 0.000223634
          14    -6.32263    -6.32091 0.000243885
          15      -6.323    -6.32105  0.00026437
          16    -6.32187     -6.3211 0.000252776
          17    -6.32149    -6.32112 0.000238936
          18    -6.32103    -6.32112  0.00022572
          19    -6.31984    -6.32105 0.000223559
          20     -6.3199    -6.32099 0.000219668
          21    -6.32174    -6.32103 0.000212119
          22    -6.32121    -6.32104 0.000202643
          23    -6.32109    -6.32104 0.000193846
          24    -6.32027    -6.32101 0.000188381
          25    -6.32114    -6.32101 0.000180927
          26    -6.32275    -6.32108 0.000185895
          27    -6.32283    -6.32114 0.000189986
          28    -6.32184    -6.32117 0.000184846
          29    -6.32096    -6.32116 0.000178616
          30    -6.31936     -6.3211 0.000182522
          31    -6.32086    -6.32109 0.000176794
          32     -6.3202    -6.32106 0.000173468
          33    -6.32171    -6.32108   0.0001693
          34     -6.3212    -6.32109 0.000164357
          35    -6.32086    -6.32108 0.000159786
          36      -6.321    -6.32108 0.000155365
          37    -6.32136    -6.32109 0.000151357
          38    -6.32185    -6.32111 0.000148685
          39    -6.32123    -6.32111 0.000144907
          40    -6.31987    -6.32108 0.000144579
          41    -6.32102    -6.32108 0.000141059
          42    -6.32162    -6.32109 0.000138285
          43    -6.32146     -6.3211 0.000135339
          44    -6.32275    -6.32114 0.000137368
          45    -6.32155    -6.32115 0.000134617
          46    -6.32156    -6.32115  0.00013199
          47    -6.32112    -6.32115 0.000129184
          48    -6.32133    -6.32116 0.000126542
          49     -6.3214    -6.32116 0.000124056
          50    -6.32127    -6.32116 0.000121592
          51    -6.32106    -6.32116 0.000119225
          52    -6.32226    -6.32118 0.000118798
          53    -6.32158    -6.32119 0.000116795
          54    -6.32184     -6.3212 0.000115243
          55    -6.32054    -6.32119 0.000113777
          56    -6.32205    -6.32121 0.000112768
          57    -6.32074     -6.3212 0.000111083
          58    -6.32087    -6.32119 0.000109309
          59    -6.32025    -6.32118 0.000108623
          60    -6.32096    -6.32117 0.000106875
          61    -6.32101    -6.32117 0.000105157
          62    -6.32113    -6.32117 0.000103463
          63    -6.32129    -6.32117 0.000101838
          64    -6.31988    -6.32115 0.000102228
          65    -6.32017    -6.32114 0.000101754
          66    -6.32063    -6.32113 0.000100505
          67    -6.32152    -6.32113 9.91757e-05
          68    -6.32017    -6.32112 9.87258e-05
          69    -6.32258    -6.32114 9.95379e-05
          70    -6.32088    -6.32114 9.81869e-05
          71    -6.32048    -6.32113  9.7246e-05
          72    -6.32097    -6.32113 9.59191e-05
          73     -6.3196    -6.32111 9.68652e-05
          74    -6.32054     -6.3211 9.58557e-05
          75    -6.31988    -6.32108  9.5942e-05
          76    -6.32221     -6.3211  9.5821e-05
          77    -6.31986    -6.32108 9.59101e-05
          78    -6.32071    -6.32108 9.47969e-05
          79    -6.32165    -6.32108 9.38716e-05
          80    -6.32024    -6.32107 9.32901e-05
          81     -6.3208    -6.32107 9.22004e-05
          82    -6.32161    -6.32108 9.13156e-05
          83    -6.32173    -6.32108 9.05561e-05
          84    -6.32171    -6.32109 8.97884e-05
          85    -6.32141    -6.32109 8.88111e-05
          86    -6.32045    -6.32109 8.80961e-05
          87    -6.32208     -6.3211 8.78264e-05
          88    -6.32265    -6.32112 8.85799e-05
          89     -6.3227    -6.32113 8.93536e-05
          90    -6.32063    -6.32113 8.85387e-05
          91    -6.32118    -6.32113 8.75675e-05
          92    -6.32203    -6.32114 8.71675e-05
          93    -6.32143    -6.32114 8.62846e-05
          94    -6.32147    -6.32115 8.54389e-05
          95    -6.32058    -6.32114 8.47483e-05
          96    -6.32077    -6.32114 8.39535e-05
          97    -6.32111    -6.32114 8.30884e-05
          98     -6.3201    -6.32112 8.29037e-05
          99    -6.32187    -6.32113 8.24081e-05
      1.5431    -6.32113 8.24081e-05
         100    -6.32156    -6.32114 8.16931e-05
